학교명,표준학교코드,급식일자,요일,식사종류,급식인원,메뉴명,알레르기번호
명덕고등학교,7010158,2024-03-04,월,조식,60.0,쌀밥,
명덕고등학교,7010158,2024-03-04,월,조식,60.0,김치국,"5,6,9"
명덕고등학교,7010158,2024-03-04,월,조식,60.0,오이무침,"5,6,13"
명덕고등학교,7010158,2024-03-04,월,조식,60.0,와규큐브찹스테이크,16
명덕고등학교,7010158,2024-03-04,월,조식,60.0,깍두기,9
명덕고등학교,7010158,2024-03-04,월,조식,60.0,시리얼(스페셜K외),"1,2,4,5,6,10,14,16,18"
명덕고등학교,7010158,2024-03-04,월,조식,60.0,사과,
명덕고등학교,7010158,2024-03-04,월,조식,60.0,우유&주스,"2,5,6,11,13"
명덕고등학교,7010158,2024-03-04,월,조식,60.0,감자샐러드(깍둑)-조식,"1,2,5"
명덕고등학교,7010158,2024-03-04,월,중식,759.0,잡곡밥,5
명덕고등학교,7010158,2024-03-04,월,중식,759.0,미역국,"2,5,6,15,16,18"
명덕고등학교,7010158,2024-03-04,월,중식,759.0,미나리무생채,13
명덕고등학교,7010158,2024-03-04,월,중식,759.0,배추김치,9
명덕고등학교,7010158,2024-03-04,월,중식,759.0,수육-교,"5,6,9,10"
명덕고등학교,7010158,2024-03-04,월,중식,759.0,한입녹두전,"2,5,6,9,10,12,16"
명덕고등학교,7010158,2024-03-04,월,석식,55.0,계란국,"1,5,6"
명덕고등학교,7010158,2024-03-04,월,석식,55.0,마파두부덮밥,"8,10,12,13,16,18,2,4,5,6"
명덕고등학교,7010158,2024-03-04,월,석식,55.0,소고기가지볶음,"5,6,13,16"
명덕고등학교,7010158,2024-03-04,월,석식,55.0,꿔바로우,"5,6,10,11,12,13"
명덕고등학교,7010158,2024-03-04,월,석식,55.0,배추김치,9
명덕고등학교,7010158,2024-03-04,월,석식,55.0,매실간장마늘쫑,
명덕고등학교,7010158,2024-03-05,화,조식,60.0,쌀밥,
명덕고등학교,7010158,2024-03-05,화,조식,60.0,콩나물국(밥),"1,5,9"
명덕고등학교,7010158,2024-03-05,화,조식,60.0,두부조림,"5,6,13,16"
명덕고등학교,7010158,2024-03-05,화,조식,60.0,깻잎지,"5,6"
명덕고등학교,7010158,2024-03-05,화,조식,60.0,맛김치,9
명덕고등학교,7010158,2024-03-05,화,조식,60.0,시리얼(스페셜K외),"1,2,4,5,6,10,14,16,18"
명덕고등학교,7010158,2024-03-05,화,조식,60.0,오렌지,
명덕고등학교,7010158,2024-03-05,화,조식,60.0,우유&주스,"2,5,6,11,13"
명덕고등학교,7010158,2024-03-05,화,조식,60.0,훈제오리*야채무침(참깨소스),"1,2,5,6,16"
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,잡곡밥,5
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,냉이된장찌개,"5,6"
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,계란찜,1
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,시금치나물,
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,배추김치,9
명덕고등학교,7010158,2024-03-05,화,중식,1005.0,매콤고추장불고기,10
명덕고등학교,7010158,2024-03-05,화,석식,55.0,잡곡밥,5
명덕고등학교,7010158,2024-03-05,화,석식,55.0,크림스프(석식),"2,5,6,13,16"
명덕고등학교,7010158,2024-03-05,화,석식,55.0,치킨까스*소스,"1,5,6,12,13,15,18"
명덕고등학교,7010158,2024-03-05,화,석식,55.0,고구마그라탕,"1,2,5,10,12,13"
명덕고등학교,7010158,2024-03-05,화,석식,55.0,배추김치,9
명덕고등학교,7010158,2024-03-05,화,석식,55.0,일식샐러드*흑임자드레싱,"1,5,12"
명덕고등학교,7010158,2024-03-06,수,조식,60.0,쌀밥,
명덕고등학교,7010158,2024-03-06,수,조식,60.0,쇠고기무국,"1,5,6,16"
명덕고등학교,7010158,2024-03-06,수,조식,60.0,허니간장불고기,10
명덕고등학교,7010158,2024-03-06,수,조식,60.0,해쉬브라운*케찹,"5,6,12"
명덕고등학교,7010158,2024-03-06,수,조식,60.0,맛김치,9
명덕고등학교,7010158,2024-03-06,수,조식,60.0,시리얼(스페셜K외),"1,2,4,5,6,10,14,18,16"
