시도교육청코드,표준학교코드,학교명,급식일자,식사코드,식사종류,급식인원,요리명,원산지정보,칼로리정보,영양정보,요일
B10,7010158,명덕고등학교,2024-03-04,1,조식,60.0,쌀밥 <br/>김치국 (5.6.9)<br/>오이무침 (5.6.13)<br/>와규큐브찹스테이크 (16)<br/>깍두기 (9)<br/>시리얼(스페셜K외) (1.2.4.5.6.10.14.16.18)<br/>사과 <br/>우유&주스 (2.5.6.11.13)<br/>감자샐러드(깍둑)-조식 (1.2.5),쇠고기(종류) : 호주산<br/>쇠고기 식육가공품 : <br/>돼지고기 : <br/>돼지고기 식육가공품 : <br/>닭고기 : <br/>닭고기 식육가공품 : <br/>오리고기 : <br/>오리고기 가공품 : <br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : <br/>낙지 : <br/>명태 : <br/>고등어 : <br/>갈치 : <br/>오징어 : <br/>꽃게 : <br/>참조기 : <br/>다랑어 : <br/>전복 : <br/>부세 : <br/>비고 : ,729.9 Kcal,탄수화물(g) : 121.5<br/>단백질(g) : 27.2<br/>지방(g) : 14.7<br/>비타민A(R.E) : 78.4<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 23.8<br/>칼슘(mg) : 992.4<br/>철분(mg) : 3.7,월
B10,7010158,명덕고등학교,2024-03-04,2,중식,759.0,잡곡밥 (5)<br/>미역국 (2.5.6.15.16.18)<br/>미나리무생채 (13)<br/>배추김치 (9)<br/>수육-교 (5.6.9.10)<br/>한입녹두전 (2.5.6.9.10.12.16),돼지고기 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>비고 : ,580.9 Kcal,탄수화물(g) : 72.6<br/>단백질(g) : 29.4<br/>지방(g) : 17.6<br/>비타민A(R.E) : 43.4<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 5.9<br/>칼슘(mg) : 588.9<br/>철분(mg) : 2.4,월
B10,7010158,명덕고등학교,2024-03-04,3,석식,55.0,계란국 (1.5.6)<br/>마파두부덮밥 (8.10.12.13.16.18.2.4.5.6)<br/>소고기가지볶음 (5.6.13.16)<br/>꿔바로우 (5.6.10.11.12.13)<br/>배추김치 (9)<br/>매실간장마늘쫑 ,쇠고기(종류) : 호주산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 꿔바로우:국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>비고 : ,734.9 Kcal,탄수화물(g) : 87.8<br/>단백질(g) : 33.1<br/>지방(g) : 27.2<br/>비타민A(R.E) : 174.7<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 1.5<br/>비타민C(mg) : 15.9<br/>칼슘(mg) : 1156.0<br/>철분(mg) : 12.3,월
B10,7010158,명덕고등학교,2024-03-05,1,조식,60.0,쌀밥 <br/>콩나물국(밥) (1.5.9)<br/>두부조림 (5.6.13.16)<br/>깻잎지 (5.6)<br/>맛김치 (9)<br/>시리얼(스페셜K외) (1.2.4.5.6.10.14.16.18)<br/>오렌지 <br/>우유&주스 (2.5.6.11.13)<br/>훈제오리*야채무침(참깨소스) (1.2.5.6.16),쇠고기(종류) : <br/>쇠고기 식육가공품 : <br/>돼지고기 : <br/>돼지고기 식육가공품 : <br/>닭고기 : <br/>닭고기 식육가공품 : <br/>오리고기 : <br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 두부-외국산<br/>콩 가공품 : <br/>낙지 : <br/>명태 : <br/>고등어 : <br/>갈치 : <br/>오징어 : <br/>꽃게 : <br/>참조기 : <br/>다랑어 : <br/>전복 : <br/>부세 : <br/>비고 : ,720.0 Kcal,탄수화물(g) : 108.1<br/>단백질(g) : 25.3<br/>지방(g) : 18.6<br/>비타민A(R.E) : 188.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 40.3<br/>칼슘(mg) : 788.8<br/>철분(mg) : 3.5,화
B10,7010158,명덕고등학교,2024-03-05,2,중식,1005.0,잡곡밥 (5)<br/>냉이된장찌개 (5.6)<br/>계란찜 (1)<br/>시금치나물 <br/>배추김치 (9)<br/>매콤고추장불고기 (10),닭고기 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>콩 가공품 : 두부-외국산<br/>비고 : ,775.4 Kcal,탄수화물(g) : 85.4<br/>단백질(g) : 58.6<br/>지방(g) : 20.1<br/>비타민A(R.E) : 293.2<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 44.5<br/>칼슘(mg) : 1617.9<br/>철분(mg) : 6.0,화
B10,7010158,명덕고등학교,2024-03-05,3,석식,55.0,잡곡밥 (5)<br/>크림스프(석식) (2.5.6.13.16)<br/>치킨까스*소스 (1.5.6.12.13.15.18)<br/>고구마그라탕 (1.2.5.10.12.13)<br/>배추김치 (9)<br/>일식샐러드*흑임자드레싱 (1.5.12),돼지고기 식육가공품 : 치킨까스:국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>비고 : ,809.0 Kcal,탄수화물(g) : 135.8<br/>단백질(g) : 23.0<br/>지방(g) : 18.8<br/>비타민A(R.E) : 35.9<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 20.5<br/>칼슘(mg) : 719.6<br/>철분(mg) : 1.8,화
B10,7010158,명덕고등학교,2024-03-06,1,조식,60.0,쌀밥 <br/>쇠고기무국 (1.5.6.16)<br/>허니간장불고기 (10)<br/>해쉬브라운*케찹 (5.6.12)<br/>맛김치 (9)<br/>시리얼(스페셜K외) (1.2.4.5.6.10.14.18.16)<br/>방울토마토 (12)<br/>우유&주스 (2.5.6.11.13)<br/>콥샐러드 (1.2.5.10.12.13),쇠고기(종류) : 호주산<br/>쇠고기 식육가공품 : <br/>돼지고기 : <br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : <br/>닭고기 식육가공품 : <br/>오리고기 : <br/>오리고기 가공품 : <br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>고춧가루 가공품 : <br/>콩 : 국내산<br/>콩 가공품 : <br/>낙지 : <br/>명태 : <br/>고등어 : <br/>갈치 : <br/>오징어 : <br/>꽃게 : <br/>참조기 : <br/>다랑어 : <br/>전복 : <br/>부세 : <br/>비고 : ,2125.3 Kcal,탄수화물(g) : 387.9<br/>단백질(g) : 59.8<br/>지방(g) : 31.5<br/>비타민A(R.E) : 122.5<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 66.1<br/>칼슘(mg) : 1837.3<br/>철분(mg) : 4.4,수
B10,7010158,명덕고등학교,2024-03-06,2,중식,1005.0,나물비빔밥 (1.5.6.10.13.16)<br/>가락냉국수 (1.2.5.6.9.16)<br/>청포묵흑임자무침 (1.5.6.16)<br/>닭봉강정 (5.6.12.13.15)<br/>배추김치 (9),돼지고기 : 국내산<br/>닭고기 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>비고 : ,731.6 Kcal,탄수화물(g) : 127.5<br/>단백질(g) : 24.4<br/>지방(g) : 12.5<br/>비타민A(R.E) : 202.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 14.7<br/>칼슘(mg) : 757.9<br/>철분(mg) : 2.2,수
B10,7010158,명덕고등학교,2024-03-06,3,석식,38.0,잡곡밥 (5)<br/>설렁탕 (1.5.6.13.16.18)<br/>삼치조림 (5.6.13)<br/>깍두기 (9)<br/>사과 <br/>떡갈비파채무침 (5.6.10.13.15.16.18),돼지고기 식육가공품 : 떡갈비:국산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>비고 : 삼치:국내산,940.1 Kcal,탄수화물(g) : 148.6<br/>단백질(g) : 31.9<br/>지방(g) : 21.8<br/>비타민A(R.E) : 105.1<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 4.7<br/>칼슘(mg) : 800.3<br/>철분(mg) : 2.3,수
B10,7010158,명덕고등학교,2024-03-07,1,조식,60.0,쌀밥 <br/>호박죽(조식) <br/>북어국 (1.5.6)<br/>멸치견과볶음(유자) (5.13.14)<br/>버섯불고기 (5.6.13.16.18)<br/>맛김치 (9)<br/>시리얼(스페셜K외) (1.2.4.5.6.10.14.16.18)<br/>신고배 <br/>우유&주스 (2.5.6.11.13)<br/>키위샐러드 (2.5.6.12),쇠고기(종류) : 호주산<br/>쇠고기 식육가공품 : <br/>돼지고기 : <br/>돼지고기 식육가공품 : <br/>닭고기 : <br/>닭고기 식육가공품 : <br/>오리고기 : <br/>오리고기 가공품 : <br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 두부-외국산<br/>콩 가공품 : <br/>낙지 : <br/>명태 : <br/>고등어 : <br/>갈치 : <br/>오징어 : <br/>꽃게 : <br/>참조기 : <br/>다랑어 : <br/>전복 : <br/>부세 : <br/>비고 : 북어채-러시아,846.9 Kcal,탄수화물(g) : 126.9<br/>단백질(g) : 30.7<br/>지방(g) : 24.6<br/>비타민A(R.E) : 259.9<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 60.4<br/>칼슘(mg) : 1331.0<br/>철분(mg) : 3.3,목
B10,7010158,명덕고등학교,2024-03-07,2,중식,1005.0,쌀밥 <br/>쑥갓어묵국 (5.6)<br/>카레소스 (1.5.6.10.12.16.18)<br/>깍두기 (9)<br/>매쉬드포테이토 (1.2.5.6.10.13)<br/>당근양배추라페샐러드 (1.5.6.13),돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>비고 : ,801.1 Kcal,탄수화물(g) : 136.7<br/>단백질(g) : 32.6<br/>지방(g) : 13.4<br/>비타민A(R.E) : 252.5<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 41.7<br/>칼슘(mg) : 1496.1<br/>철분(mg) : 3.1,목
B10,7010158,명덕고등학교,2024-03-07,3,석식,55.0,잡곡밥 (5)<br/>순두부찌개 (1.2.4.5.6.8.9.10.16)<br/>얼갈이겉절이 (5.6.13)<br/>순대볶음 (2.5.6.10.13.16)<br/>유자치킨탕수 (1.2.5.6.15.16.18)<br/>깍두기 (9),돼지고기 : 국내산<br/>돼지고기 식육가공품 : 순대:국내산<br/>닭고기 식육가공품 : 치킨탕수육:국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>비고 : ,705.9 Kcal,탄수화물(g) : 102.4<br/>단백질(g) : 24.8<br/>지방(g) : 21.1<br/>비타민A(R.E) : 147.3<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 18.0<br/>칼슘(mg) : 744.5<br/>철분(mg) : 3.0,목
