날짜,요일,공휴일여부,평균기온,최고기온,최저기온,강수량,대여건수
2024-03-01,금,1,-4.1,0.3,-7.1,0,45203
2024-03-02,토,0,-0.5,4.1,-8.1,0.0,54615
2024-03-03,일,0,4.0,7.8,0.4,0,65372
2024-03-04,월,0,5.4,11.7,-1.8,0,108117
2024-03-05,화,0,8.0,11.0,5.5,0,110772
2024-03-06,수,0,6.2,10.3,2.5,0,116831
2024-03-07,목,0,3.9,8.2,1.2,2.1,98078
2024-03-08,금,0,2.1,6.5,-0.7,0,99701
2024-03-09,토,0,2.0,7.1,-2.1,0,78186
2024-03-10,일,0,4.2,10.6,-1.8,0,81203
2024-03-11,월,0,6.2,10.8,2.0,0,114632
2024-03-12,화,0,6.6,10.0,4.4,2.1,79698
2024-03-13,수,0,6.5,12.0,1.3,0,120864
2024-03-14,목,0,8.5,15.4,3.4,0,126949
2024-03-15,금,0,8.9,14.5,4.0,0,130976
2024-03-16,토,0,10.9,18.3,4.4,0,118333
2024-03-17,일,0,8.8,12.2,5.4,0.1,87957
2024-03-18,월,0,7.1,13.2,1.4,0,123578
2024-03-19,화,0,6.7,9.8,3.9,0.2,102639
2024-03-20,수,0,4.4,8.7,1.2,0,112260
2024-03-21,목,0,5.0,11.5,-1.2,0,122103
2024-03-22,금,0,10.4,15.2,3.8,5.4,81644
2024-03-23,토,0,13.0,18.2,9.3,0.1,123500
2024-03-24,일,0,16.2,23.4,10.5,0,142055
2024-03-25,월,0,10.6,14.5,6.7,5.1,58719
2024-03-26,화,0,7.4,12.4,3.2,11.5,87492
2024-03-27,수,0,10.4,16.2,4.4,0,141383
2024-03-28,목,0,10.3,12.2,7.8,1.9,88257
2024-03-29,금,0,7.6,12.3,5.0,1.4,91977
2024-03-30,토,0,8.8,15.6,3.0,0,111701
2024-03-31,일,0,10.6,17.7,3.4,0,126239
2024-04-01,월,0,12.2,19.0,5.5,0,149991
2024-04-02,화,0,15.4,23.9,7.0,0,167894
2024-04-03,수,0,16.6,19.7,13.9,0.0,152441
2024-04-04,목,0,15.5,20.3,12.4,0,169106
2024-04-05,금,0,14.0,18.8,10.2,0,175764
2024-04-06,토,0,12.7,18.9,8.0,0,160690
2024-04-07,일,0,14.8,23.4,7.7,0,155133
2024-04-08,월,0,16.2,22.8,11.0,0,165749
2024-04-09,화,0,15.3,20.8,10.6,0,175188
2024-04-10,수,1,13.8,18.5,10.2,0,153278
2024-04-11,목,0,15.5,21.1,11.7,0.0,159006
2024-04-12,금,0,17.2,24.2,12.0,0,178576
2024-04-13,토,0,19.1,27.3,11.2,0,162837
2024-04-14,일,0,20.8,29.4,13.6,0,147694
2024-04-15,월,0,16.0,20.0,11.7,17.1,62438
2024-04-16,화,0,13.3,17.9,11.5,2.3,121306
2024-04-17,수,0,15.0,21.8,9.7,0,163243
2024-04-18,목,0,17.3,24.9,10.7,0,170381
2024-04-19,금,0,17.6,24.3,11.5,0,176541
2024-04-20,토,0,14.9,17.2,13.0,4.8,41458
2024-04-21,일,0,17.2,21.7,13.3,0,129188
2024-04-22,월,0,18.8,24.1,15.0,0,176564
2024-04-23,화,0,17.3,24.2,13.2,0.0,151832
2024-04-24,수,0,13.2,16.5,11.0,9.0,109246
2024-04-25,목,0,14.4,20.8,10.3,0,170643
2024-04-26,금,0,17.8,26.0,11.4,0,180690
2024-04-27,토,0,18.2,26.2,11.5,0,161802
2024-04-28,일,0,20.7,28.9,13.0,0,147984
2024-04-29,월,0,20.9,26.1,16.9,0,180029
2024-04-30,화,0,18.6,22.5,16.0,0,182932
2024-05-01,수,0,18.5,24.0,13.9,0,181438
2024-05-02,목,0,18.1,23.7,12.4,0,186104
2024-05-03,금,0,19.7,27.9,12.2,0,190509
2024-05-04,토,0,21.4,28.5,14.6,0.0,157009
2024-05-05,일,1,17.8,20.6,15.7,48.3,14293
2024-05-06,월,1,13.9,15.7,13.4,12.3,25673
2024-05-07,화,0,13.3,15.0,12.2,2.4,73345
2024-05-08,수,0,14.7,21.4,9.0,0,176774
2024-05-09,목,0,16.1,21.8,10.9,0,177939
2024-05-10,금,0,17.9,23.8,12.5,0,189084
2024-05-11,토,0,17.0,22.0,14.0,31.7,62195
2024-05-12,일,0,16.6,21.6,11.9,0,146929
2024-05-13,월,0,18.3,24.5,11.9,0,182526
2024-05-14,화,0,18.8,24.7,12.7,0,192253
2024-05-15,수,1,12.6,18.8,7.2,20.6,54565
2024-05-16,목,0,13.7,19.8,6.9,0.1,171714
2024-05-17,금,0,18.3,24.9,10.8,0,190734
2024-05-18,토,0,20.7,26.5,16.0,0,169966
2024-05-19,일,0,21.5,27.9,15.9,0,152132
2024-05-20,월,0,19.4,22.8,16.8,0,178239
2024-05-21,화,0,21.7,28.3,16.3,0,186283
2024-05-22,수,0,20.5,25.5,16.4,0,186666
2024-05-23,목,0,20.2,26.4,15.8,0,185646
2024-05-24,금,0,20.1,24.7,15.7,0,189907
2024-05-25,토,0,21.4,24.7,18.7,0,167427
2024-05-26,일,0,19.9,23.7,17.0,8.7,62695
2024-05-27,월,0,18.5,22.6,14.1,0,179249
2024-05-28,화,0,20.4,26.1,14.3,0,193336
2024-05-29,수,0,21.2,26.8,15.4,0,189804
2024-05-30,목,0,20.7,24.6,16.2,0,187436
2024-05-31,금,0,20.4,25.4,16.9,1.0,186885
2024-06-01,토,0,20.7,25.2,17.5,0.0,167881
2024-06-02,일,0,20.4,25.8,15.7,0,154183
2024-06-03,월,0,22.2,28.7,15.7,0,187310
2024-06-04,화,0,22.8,29.3,16.3,0,194244
2024-06-05,수,0,23.6,30.1,18.1,0,193154
2024-06-06,목,1,24.1,31.4,19.3,0,150187
2024-06-07,금,0,23.1,28.0,18.3,0.8,176150
2024-06-08,토,0,20.3,25.0,17.9,16.9,108164
2024-06-09,일,0,22.9,28.8,17.4,0,144224
2024-06-10,월,0,24.7,31.1,19.0,0,184800
2024-06-11,화,0,25.4,31.6,21.7,0,185328
2024-06-12,수,0,24.8,31.8,19.2,0,185721
2024-06-13,목,0,26.4,32.8,20.0,0,180563
2024-06-14,금,0,26.3,33.0,21.4,0,184759
2024-06-15,토,0,24.2,28.2,21.8,6.1,135545
2024-06-16,일,0,24.3,29.5,19.9,0,138902
2024-06-17,월,0,24.8,30.2,18.9,0,183969
2024-06-18,화,0,26.0,32.9,20.4,0,185021
2024-06-19,수,0,28.8,35.8,21.4,0,176973
2024-06-20,목,0,29.4,35.4,23.4,0,176281
2024-06-21,금,0,28.1,33.9,22.9,0,181227
2024-06-22,토,0,24.2,26.1,22.6,16.5,60127
2024-06-23,일,0,25.1,30.1,22.5,5.1,106451
2024-06-24,월,0,24.3,27.9,21.2,0.0,176776
2024-06-25,화,0,22.9,27.2,19.1,0,194240
2024-06-26,수,0,24.9,31.6,18.9,0,186826
2024-06-27,목,0,26.3,31.6,20.6,0,184931
